ID,nr,datum,schlag,objekt,objnr,beschrei,zustand,bild,bemerkun,handlung,x,y,position,gpstime,ggatime,time,kunde,bearbeit,lage,da,dks,sam,sau,geom,proc
"20001354","20001354",09.02.,,Sonstiger Punkt,"38",ZfB3,,,,,,,"{""mode"":2,""speedKn"":""0.144"",""pdop"":""0.78"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.92"",""lon"":""13.8862077"",""oht"":""120.229"",""systime"":1675935894147,""time"":1675932293000,""hdop"":""0.48"",""lat"":""51.0029640"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.22943.582"",","1675932293000","1675932293000","1675935898.957704",,,,,,,,,$Format:%H$:newRecord
"20001355","20001355",09.02.,,Sonstiger Punkt,"39",ZfB4,,,,,,,"{""mode"":2,""speedKn"":""0.040"",""pdop"":""0.82"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8863911"",""oht"":""120.320"",""systime"":1675935925225,""time"":1675932324000,""hdop"":""0.50"",""lat"":""51.0028663"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.32043.582"",","1675932324000","1675932324000","1675935930.130719",,,,,,,,,$Format:%H$:newRecord
"20001356","20001356",09.02.,,Sonstiger Punkt,"40",ZfB5,,,,,,,"{""mode"":2,""speedKn"":""0.125"",""pdop"":""0.82"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8870689"",""oht"":""119.792"",""systime"":1675935991866,""time"":1675932391000,""hdop"":""0.50"",""lat"":""51.0024997"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.79243.582"",","1675932391000","1675932391000","1675935996.934543",,,,,,,,,$Format:%H$:newRecord
"20001357","20001357",09.02.,,Sonstiger Punkt,"41",ZfB6,,,,,,,"{""mode"":2,""speedKn"":""0.133"",""pdop"":""0.82"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8877282"",""oht"":""119.950"",""systime"":1675936041401,""time"":1675932440000,""hdop"":""0.50"",""lat"":""51.0021430"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.95043.582"",","1675932440000","1675932440000","1675936046.285059",,,,,,,,,$Format:%H$:newRecord
"20001358","20001358",09.02.,,Sonstiger Punkt,"42",ZfB7,,,,,,,"{""mode"":2,""speedKn"":""0.110"",""pdop"":""0.82"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8880845"",""oht"":""120.436"",""systime"":1675936088974,""time"":1675932488000,""hdop"":""0.50"",""lat"":""51.0019459"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.43643.582"",","1675932488000","1675932488000","1675936093.944151",,,,,,,,,$Format:%H$:newRecord
"20001359","20001359",09.02.,,Sonstiger Punkt,"43",ZfB8,,,,,,,"{""mode"":2,""speedKn"":""0.013"",""pdop"":""0.82"",""ght"":""43.581"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8881270"",""oht"":""120.829"",""systime"":1675936113942,""time"":1675932513000,""hdop"":""0.50"",""lat"":""51.0019466"",""aux"":{""source"":0,""ght"":""43.581"",""eht"":""120.82943.581"",","1675932513000","1675932513000","1675936119.629188",,,,,,,,,$Format:%H$:newRecord
"20001360","20001360",09.02.,,Sonstiger Punkt,"44",ZfB9,,,,,,,"{""mode"":2,""speedKn"":""0.090"",""pdop"":""0.82"",""ght"":""43.581"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8881794"",""oht"":""120.598"",""systime"":1675936137076,""time"":1675932536000,""hdop"":""0.50"",""lat"":""51.0019701"",""aux"":{""source"":0,""ght"":""43.581"",""eht"":""120.59843.581"",","1675932536000","1675932536000","1675936141.918245",,,,,,,,,$Format:%H$:newRecord
"20001361","20001361",09.02.,,Sonstiger Punkt,"45",ZfB10,,,,,,,"{""mode"":2,""speedKn"":""0.046"",""pdop"":""0.82"",""ght"":""43.580"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8889320"",""oht"":""120.665"",""systime"":1675936212225,""time"":1675932611000,""hdop"":""0.50"",""lat"":""51.0025371"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""120.66543.580"",","1675932611000","1675932611000","1675936217.555365",,,,,,,,,$Format:%H$:newRecord
"20001362","20001362",09.02.,,Sonstiger Punkt,"46",ZfB11,,,,,,,"{""mode"":2,""speedKn"":""0.063"",""pdop"":""0.87"",""ght"":""43.579"",""satView"":""04"",""vdop"":""1.02"",""lon"":""13.8896680"",""oht"":""120.162"",""systime"":1675936290778,""time"":1675932690000,""hdop"":""0.53"",""lat"":""51.0031073"",""aux"":{""source"":0,""ght"":""43.579"",""eht"":""120.16243.579"",","1675932690000","1675932690000","1675936295.667766",,,,,,,,,$Format:%H$:newRecord
"20001363","20001363",09.02.,,Sonstiger Punkt,"47",ZfB12,,,,,,,"{""mode"":4,""speedKn"":""0.028"",""pdop"":""1.20"",""ght"":""43.578"",""satView"":""05"",""vdop"":""1.40"",""lon"":""13.8898224"",""oht"":""118.381"",""systime"":1675936359839,""time"":1675932759000,""hdop"":""0.71"",""lat"":""51.0032204"",""aux"":{""source"":0,""ght"":""43.578"",""eht"":""118.38143.578"",","1675932759000","1675932759000","1675936366.725018",,,,,,,,,$Format:%H$:newRecord
